year,centre_code,centre_name,ownership,address,postal_code,municipality_code,municipality,county,utm_x,utm_y,longitude,latitude,source_url
2025,43012678,Llar d'infants El Til·ler,Corporacions Locals,"av. Catalunya, 2",43885,431359,Salomó,Tarragonès,363785,4565460,1.374739,41.229,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43003082,Escola Guillem de Claramunt,Departament d'Educació i Formació Professional,"c. Ctra. de Vallmoll, s/n",43765,431444,La Secuita,Tarragonès,355604,4562718,1.277817,41.20296,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43012770,Escola Bressol Municipal els Guillemets,Corporacions Locals,"ctra. de Vallmoll, s/n",43765,431444,La Secuita,Tarragonès,355604,4562720,1.277816,41.20298,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43003136,Escola Bonavista,Departament d'Educació i Formació Professional,"c. 21, s/n",43100,431482,Tarragona,Tarragonès,348362,4554005,1.193639,41.1231,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43003151,Joan XXIII,Fundacions,"c. Catorze, s/n",43100,431482,Tarragona,Tarragonès,352156,4554005,1.238812,41.12389,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43003227,Escola Sant Salvador,Departament d'Educació i Formació Professional,"av. de Sant Salvador, 13",43130,431482,Tarragona,Tarragonès,352445,4558107,1.241263,41.16087,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43003306,Escola Serrallo,Departament d'Educació i Formació Professional,"c. Xavier Montsalvatge, 8",43004,431482,Tarragona,Tarragonès,352220,4552615,1.239906,41.11138,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43003321,Escola Sant Pere i Sant Pau,Departament d'Educació i Formació Professional,"Urb. Sant Pere i Sant Pau, s/n",43007,431482,Tarragona,Tarragonès,353341,4555466,1.252574,41.13726,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43003410,Joan Roig,Societats Mercantils,"c. Cristòfor Colom, 9",43001,431482,Tarragona,Tarragonès,352936,4553144,1.248307,41.11628,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43003461,Tic-Tac,Ordes i Congregacions Catòlics,"av. Lluís Companys, 12",43005,431482,Tarragona,Tarragonès,352421,4553598,1.242067,41.12027,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43003483,Lestonnac-l'Ensenyança,Ordes i Congregacions Catòlics,"c. de l'Arc de Sant Llorenç, 2",43003,431482,Tarragona,Tarragonès,353866,4553483,1.259294,41.1195,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43003495,Mare de Déu del Carme,Ordes i Congregacions Catòlics,"av. Estanislau Figueres, 31",43002,431482,Tarragona,Tarragonès,353024,4553375,1.249296,41.11837,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43003501,El Carme,Fundacions,"c. del Mar, 17",43004,431482,Tarragona,Tarragonès,352827,4552512,1.247161,41.11057,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43003525,Dominiques Tarragona,Fundacions,"c. Rovira i Virgili, 16",43002,431482,Tarragona,Tarragonès,353130,4553443,1.250545,41.119,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43003537,La Salle,Ordes i Congregacions Catòlics,"av. Països Catalans, s/n",43007,431482,Tarragona,Tarragonès,352704,4555067,1.245081,41.13355,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43003549,Vedruna Tarragona,Fundacions,"c. Santa Joaquima de Vedruna, 10",43002,431482,Tarragona,Tarragonès,352956,4553637,1.248423,41.12072,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43003550,Santa Teresa de Jesús,Fundacions,"rbla. Nova, 79",43003,431482,Tarragona,Tarragonès,353201,4553156,1.25146,41.11643,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
2025,43003586,Sant Pau Apòstol,Fundacions,"pg. Torroja, 1",43007,431482,Tarragona,Tarragonès,353732,4553696,1.257658,41.12139,https://analisi.transparenciacatalunya.cat/resource/kvmv-ahh4.csv?%24where=nom_comarca%3D%27Tarragon%C3%A8s%27&%24limit=50000&%24order=any%2Ccodi_municipi_6%2Ccodi_centre
