Habitatges. Per tipus d'habitatge
Municipis. 2021
Font: Idescat, a partir del Cens de població i habitatges de l'INE.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=censph&n=30&geo=mun&lang=ca
Codi;Nom;Habitatges familiars convencionals principals;Habitatges familiars convencionals no principals;Habitatges familiars convencionals;Habitatges familiars no convencionals (allotjaments);Total habitatges familiars;Establiments col·lectius
081629;Hostalets de Pierola, els;1180;489;1669;0;1669;0
170834;Hostalric;1637;350;1987;0;1987;0
081022;Igualada;15681;2576;18257;0;18257;17
251155;Isona i Conca Dellà;433;739;1172;0;1172;0
170849;Isòvol;135;307;442;0;442;0
251137;Ivars d'Urgell;589;215;804;0;804;0
251121;Ivars de Noguera;121;62;183;0;183;0
251142;Ivorra;41;36;77;0;77;0
170852;Jafre;143;86;229;0;229;0
170865;Jonquera, la;1160;309;1469;0;1469;0
081038;Jorba;319;133;452;0;452;1
259101;Josa i Tuixén;61;149;210;0;210;0
170871;Juià;101;53;154;0;154;1
251180;Juncosa;167;153;320;0;320;0
251193;Juneda;1292;554;1846;0;1846;7
251214;Les;395;158;553;0;553;0
251229;Linyola;1042;410;1452;0;1452;0
081043;Llacuna, la;376;380;756;0;756;0
170887;Lladó;298;100;398;0;398;0
251235;Lladorre;115;70;185;0;185;0
251240;Lladurs;68;53;121;0;121;0
081056;Llagosta, la;5053;256;5309;0;5309;0
170890;Llagostera;3302;1179;4481;0;4481;3
170904;Llambilles;244;43;287;0;287;0
170911;Llanars;228;555;783;0;783;0
170926;Llançà;2200;6046;8246;0;8246;0
251253;Llardecans;182;147;329;0;329;0
251266;Llavorsí;169;206;375;0;375;0
251207;Lleida;54542;13757;68299;0;68299;68
170932;Llers;453;97;550;0;550;0
251272;Lles de Cerdanya;124;198;322;0;322;0
081075;Lliçà d'Amunt;5383;1261;6644;0;6644;1
081081;Lliçà de Vall;2263;417;2680;0;2680;2
251288;Llimiana;61;98;159;0;159;0
081069;Llinars del Vallès;3741;580;4321;0;4321;5
170947;Llívia;676;1704;2380;0;2380;0
430727;Lloar, el;50;73;123;0;123;0
251291;Llobera;57;25;82;0;82;0
430733;Llorac;42;63;105;0;105;0
