year,municipality_code,municipality,age_code,age_label,age_order,birthplace_code,birthplace_label,sex_code,sex_label,population,status,source,source_updated,source_url
2021,439057,Salou,Y020_024,de 20 a 24 anys,4,CA09,Catalunya,M,homes,353,,"Idescat, a partir del Cens de població i habitatges de l'INE.",2026-02-25,"https://api.idescat.cat/taules/v2/censph/535/562/mun/data?lang=ca&YEAR=2021&MUN=431711,439057"
2021,439057,Salou,Y020_024,de 20 a 24 anys,4,CA09,Catalunya,F,dones,365,,"Idescat, a partir del Cens de població i habitatges de l'INE.",2026-02-25,"https://api.idescat.cat/taules/v2/censph/535/562/mun/data?lang=ca&YEAR=2021&MUN=431711,439057"
2021,439057,Salou,Y020_024,de 20 a 24 anys,4,CA09,Catalunya,TOTAL,total,718,,"Idescat, a partir del Cens de població i habitatges de l'INE.",2026-02-25,"https://api.idescat.cat/taules/v2/censph/535/562/mun/data?lang=ca&YEAR=2021&MUN=431711,439057"
2021,439057,Salou,Y020_024,de 20 a 24 anys,4,RES,resta d'Espanya,M,homes,35,,"Idescat, a partir del Cens de població i habitatges de l'INE.",2026-02-25,"https://api.idescat.cat/taules/v2/censph/535/562/mun/data?lang=ca&YEAR=2021&MUN=431711,439057"
2021,439057,Salou,Y020_024,de 20 a 24 anys,4,RES,resta d'Espanya,F,dones,50,,"Idescat, a partir del Cens de població i habitatges de l'INE.",2026-02-25,"https://api.idescat.cat/taules/v2/censph/535/562/mun/data?lang=ca&YEAR=2021&MUN=431711,439057"
2021,439057,Salou,Y020_024,de 20 a 24 anys,4,RES,resta d'Espanya,TOTAL,total,85,,"Idescat, a partir del Cens de població i habitatges de l'INE.",2026-02-25,"https://api.idescat.cat/taules/v2/censph/535/562/mun/data?lang=ca&YEAR=2021&MUN=431711,439057"
2021,439057,Salou,Y020_024,de 20 a 24 anys,4,ESTR,estranger,M,homes,406,,"Idescat, a partir del Cens de població i habitatges de l'INE.",2026-02-25,"https://api.idescat.cat/taules/v2/censph/535/562/mun/data?lang=ca&YEAR=2021&MUN=431711,439057"
2021,439057,Salou,Y020_024,de 20 a 24 anys,4,ESTR,estranger,F,dones,316,,"Idescat, a partir del Cens de població i habitatges de l'INE.",2026-02-25,"https://api.idescat.cat/taules/v2/censph/535/562/mun/data?lang=ca&YEAR=2021&MUN=431711,439057"
2021,439057,Salou,Y020_024,de 20 a 24 anys,4,ESTR,estranger,TOTAL,total,722,,"Idescat, a partir del Cens de població i habitatges de l'INE.",2026-02-25,"https://api.idescat.cat/taules/v2/censph/535/562/mun/data?lang=ca&YEAR=2021&MUN=431711,439057"
2021,439057,Salou,Y020_024,de 20 a 24 anys,4,TOTAL,total,M,homes,794,,"Idescat, a partir del Cens de població i habitatges de l'INE.",2026-02-25,"https://api.idescat.cat/taules/v2/censph/535/562/mun/data?lang=ca&YEAR=2021&MUN=431711,439057"
