Indicadors geogràfics. Superfície, densitat i entitats de població
Municipis. 2025
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=inddt&n=396&geo=mun&lang=ca
Codi;Nom;Superfície (km²);Densitat (hab./km²);Entitats singulars població (nombre)
431114;Pobla de Montornès, la;12,29;282,3;5
251713;Pobla de Segur, la;32,83;96,8;4
431129;Poboleda;13,95;24,7;1
081672;Polinyà;8,79;975,2;2
431135;Pont d'Armentera, el;21,67;23,4;1
250306;Pont de Bar, el;42,62;3,9;8
171352;Pont de Molins;8,66;67,7;1
251734;Pont de Suert, el;148,14;16,4;25
081825;Pont de Vilomara i Rocafort, el;27,41;153,3;2
431418;Pontils;67,56;1,8;7
081688;Pontons;25,94;19,9;11
171365;Pontós;13,66;21,6;2
251728;Ponts;30,52;86,5;4
171371;Porqueres;33,52;143,3;6
431140;Porrera;28,83;14,1;1
171404;Port de la Selva, el;41,62;25,3;3
171387;Portbou;9,22;122,8;2
251749;Portella, la;12,31;59,3;1
431153;Pradell de la Teixeta;21,83;8,3;3
431166;Prades;32,58;19,8;1
431172;Prat de Comte;26,43;6,8;1
081691;Prat de Llobregat, el;31,41;2109,2;1
431188;Pratdip;36,27;21,6;3
081712;Prats de Lluçanès;13,78;200,2;1
081705;Prats de Rei, els;26,06;21,2;4
251752;Prats i Sansor;6,57;38,4;4
251765;Preixana;21,52;18,6;1
251771;Preixens;28,67;13,9;3
082303;Premià de Dalt;6,57;1613,5;11
081727;Premià de Mar;2,11;13909,0;1
171390;Preses, les;9,39;207,2;7
251790;Prullans;21,21;12,7;10
171411;Puigcerdà;18,92;531,3;9
081748;Puigdàlber;0,40;1552,5;3
251804;Puiggròs;9,90;27,3;1
431191;Puigpelat;9,48;129,2;7
081751;Puig-reig;45,75;99,6;7
251811;Puigverd d'Agramunt;17,00;14,1;1
251826;Puigverd de Lleida;12,51;113,2;1
081764;Pujalt;31,43;6,5;5
081770;Quar, la;38,25;1,2;1
171426;Quart;38,09;109,2;6
170433;Queralbs;93,47;2,2;7
431205;Querol;72,26;8,5;3
171432;Rabós;45,10;5,2;2
081786;Rajadell;45,53;13,1;5
431362;Ràpita, la;53,72;302,1;2
431212;Rasquera;51,31;15,4;1
171447;Regencós;6,27;43,7;1
081799;Rellinars;17,79;52,2;2
431227;Renau;8,22;20,1;1
