year,municipality_code,municipality,age_code,age_label,age_years,sex,population,source_url
2021,431711,Vila-seca,Y069,69 anys,69,M,90.0,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y069,69 anys,69,F,103,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y070,70 anys,70,M,83,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y070,70 anys,70,F,92,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y071,71 anys,71,M,89,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y071,71 anys,71,F,93,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y072,72 anys,72,M,85,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y072,72 anys,72,F,91,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y073,73 anys,73,M,95,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y073,73 anys,73,F,79,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y074,74 anys,74,M,72,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y074,74 anys,74,F,65,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y075,75 anys,75,M,64,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y075,75 anys,75,F,69,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y076,76 anys,76,M,56,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y076,76 anys,76,F,64,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y077,77 anys,77,M,52,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y077,77 anys,77,F,74,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y078,78 anys,78,M,48,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y078,78 anys,78,F,46,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y079,79 anys,79,M,37,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y079,79 anys,79,F,42,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y080,80 anys,80,M,39,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y080,80 anys,80,F,65,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y081,81 anys,81,M,25,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y081,81 anys,81,F,31,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y082,82 anys,82,M,27,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y082,82 anys,82,F,44,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y083,83 anys,83,M,37,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y083,83 anys,83,F,50.0,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y084,84 anys,84,M,29,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y084,84 anys,84,F,41,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y085,85 anys,85,M,27,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y085,85 anys,85,F,40.0,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
2021,431711,Vila-seca,Y086,86 anys,86,M,21,"https://api.idescat.cat/taules/v2/censph/10/5975/mun/data?lang=ca&YEAR=2021&MUN=431711&SEX=M,F"
